analysis_type,targeting_window,usage_context,trip_count,unique_riders,avg_duration,engagement_quality_score,targeting_opportunity_score,message_timing_effectiveness,recommended_message_theme,recommended_channels,campaign_intensity,expected_conversion_window,expected_roi_category
OPTIMAL_TARGETING_WINDOWS,Thursday at 18:00,Weekday Evening Commute,24396,817,18.26,70.01,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),Very High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 18:00,Weekday Evening Commute,25837,810,18.52,69.75,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 17:00,Weekday Evening Commute,30148,826,18.79,69.55,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 17:00,Weekday Evening Commute,28833,813,18.13,69.54,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 18:00,Weekday Evening Commute,25862,796,20.2,69.45,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 17:00,Weekday Evening Commute,29504,812,19.88,69.45,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 21:00,Evening Wind-down,11664,656,17.94,69.35,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 17:00,Weekday Evening Commute,25864,809,18.24,69.35,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 18:00,Weekday Evening Commute,22017,806,18.41,69.11,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 15:00,Weekend Leisure,37153,808,25.71,68.91,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 19:00,Weekday Evening Commute,17890,760,18.03,68.90,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 19:00,Weekday Evening Commute,18939,739,20.27,68.90,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 21:00,Evening Wind-down,9051,645,15.59,68.83,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 20:00,Evening Wind-down,14261,716,19.12,68.82,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 20:00,Evening Wind-down,12858,692,17.4,68.79,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 14:00,Weekend Leisure,36985,804,26.3,68.73,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 16:00,Weekend Leisure,35314,802,25.08,68.73,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 19:00,Weekday Evening Commute,19403,771,19.09,68.68,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 22:00,Evening Wind-down,15048,646,20.54,68.66,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 17:00,Off-Peak,31369,791,24.11,68.66,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 12:00,Weekend Leisure,34657,797,27.03,68.61,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 13:00,Weekend Leisure,36646,809,27.41,68.52,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 15:00,Weekend Leisure,33417,806,25.88,68.51,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 16:00,Weekend Leisure,30670,800,25.41,68.48,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 18:00,Off-Peak,26331,771,23.02,68.43,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 19:00,Weekday Evening Commute,15137,738,18.03,68.28,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 20:00,Evening Wind-down,10594,677,16.2,68.14,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 13:00,Weekend Leisure,30863,782,27.18,68.03,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 16:00,Off-Peak,27885,822,21.01,68.00,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 21:00,Evening Wind-down,10800,650,16.35,67.98,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 19:00,Off-Peak,20375,760,21.95,67.98,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 14:00,Weekend Leisure,31728,799,26.97,67.95,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 17:00,Off-Peak,25980,762,24.78,67.88,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 22:00,Evening Wind-down,8834,601,17.8,67.87,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 12:00,Weekend Leisure,29627,747,27.15,67.80,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 19:00,Weekday Evening Commute,16032,734,18.2,67.76,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 16:00,Off-Peak,24388,799,18.87,67.71,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 18:00,Weekday Evening Commute,22286,783,20,67.66,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 11:00,Weekend Leisure,30634,763,27.65,67.62,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 17:00,Weekday Evening Commute,25974,826,19.73,67.62,95,High,Daily Commute Optimization - Stress-Free Travel,Push Notifications + Email + Social Media,High Intensity (Daily campaigns),15-30 minutes (immediate decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 16:00,Off-Peak,23295,812,18.59,67.44,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 16:00,Off-Peak,21545,784,18.53,67.37,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 23:00,Off-Peak,11759,632,20.34,67.34,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 15:00,Off-Peak,24448,842,21.87,67.33,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 11:00,Weekend Leisure,26032,742,27.28,67.32,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 20:00,Evening Wind-down,13798,741,19.79,67.31,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 18:00,Off-Peak,21466,761,23.29,67.29,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 22:00,Evening Wind-down,9614,640,17.41,67.29,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 20:00,Evening Wind-down,15442,709,22.03,67.26,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 22:00,Evening Wind-down,11330,650,18.8,67.16,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 21:00,Evening Wind-down,14419,701,22.15,67.00,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 21:00,Evening Wind-down,11320,697,17.86,66.90,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 22:00,Evening Wind-down,6929,581,16.07,66.90,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 20:00,Evening Wind-down,11660,683,18.66,66.72,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 21:00,Evening Wind-down,8393,636,18.27,66.65,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 10:00,Weekend Leisure,24174,738,27.06,66.54,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 14:00,Weekday Lunch,21260,807,23.5,66.44,95,Medium-High,Midday Convenience - Quick & Healthy Breaks,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 20:00,Evening Wind-down,11768,698,21.65,66.41,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 15:00,Off-Peak,17784,776,20.48,66.33,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 19:00,Off-Peak,15979,736,22.77,66.33,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 9:00,Off-Peak,16861,714,24.78,66.32,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 21:00,Evening Wind-down,9158,646,20.23,66.30,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 16:00,Off-Peak,22333,783,20.03,66.26,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 23:00,Off-Peak,10062,610,18.09,66.21,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 10:00,Weekend Leisure,20594,705,27.26,66.09,95,Medium-High,Recreation Enhancement - Unlimited Weekend Access,Email + Social Media + Display Ads,High Intensity (Daily campaigns),1-4 hours (leisure decision window),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 8:00,Early Morning,10427,654,21.56,66.04,95,Low,Early Bird Benefits - Beat the Rush,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 22:00,Evening Wind-down,5806,595,18.68,65.87,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 23:00,Off-Peak,6336,585,16.48,65.87,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 7:00,Early Morning,5235,568,21.69,65.86,95,Low,Early Bird Benefits - Beat the Rush,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 12:00,Weekday Lunch,19887,757,24.24,65.77,95,Medium-High,Midday Convenience - Quick & Healthy Breaks,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Friday at 13:00,Weekday Lunch,20441,775,23.68,65.77,95,Medium-High,Midday Convenience - Quick & Healthy Breaks,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 15:00,Off-Peak,17542,791,20.79,65.70,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 15:00,Off-Peak,18852,786,22.87,65.57,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 22:00,Evening Wind-down,7755,615,19.88,65.41,95,Medium,Planning Ahead - Tomorrow Starts Tonight,Email + Social Media + Display Ads,High Intensity (Daily campaigns),12-24 hours (overnight consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Thursday at 14:00,Weekday Lunch,14966,777,22.39,65.28,95,Medium-High,Midday Convenience - Quick & Healthy Breaks,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 0:00,Off-Peak,9632,620,18.21,65.27,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Wednesday at 23:00,Off-Peak,4945,569,17.91,65.22,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Tuesday at 15:00,Off-Peak,15388,769,19.84,65.20,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Sunday at 9:00,Off-Peak,14038,684,25.38,65.18,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Monday at 14:00,Weekday Lunch,17031,763,24.23,65.16,95,Medium-High,Midday Convenience - Quick & Healthy Breaks,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
OPTIMAL_TARGETING_WINDOWS,Saturday at 1:00,Off-Peak,6659,558,19.19,65.02,95,Low,General Membership Value,Email + Social Media + Display Ads,High Intensity (Daily campaigns),24-72 hours (extended consideration),High ROI Expected
