analysis_type,temperature_range,average_temperature,user_type,total_trips,total_users,trips_per_user,avg_duration,quality_trip_percentage,engagement_category,conversion_opportunity_score,yoy_growth_percent,recommended_campaign_type,messaging_theme,campaign_timing_recommendation,estimated_conversion_targets,weather_integration_strategy
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,9°F,casual,334221,1268,263.58,19.27,77.23,Low Casual Engagement,75,1313.38,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),254,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,8°F,casual,307560,1229,250.25,22.52,78.75,Low Casual Engagement,75,-0.62,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),246,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,7°F,casual,309486,1260,245.62,23.99,77.92,Low Casual Engagement,75,,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),252,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,6°F,casual,289937,1241,233.63,23.51,79.02,Low Casual Engagement,75,-13.25,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),248,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,5°F,casual,223215,1213,184.02,24.18,76.55,Low Casual Engagement,75,-27.42,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),243,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,4°F,casual,127599,1100,116.00,22.06,74.81,Low Casual Engagement,75,177.27,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),220,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,3°F,casual,80317,1028,78.13,20.03,75.20,Low Casual Engagement,75,-64.02,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),206,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,2°F,casual,46019,936,49.17,18.45,74.40,Low Casual Engagement,75,-42.70,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),187,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,1°F,casual,23647,873,27.09,14.04,70.88,Low Casual Engagement,75,-81.47,Resilience Campaign - Member exclusive cold weather gear,Committed riders get rewards - Member cold weather benefits,Quick deployment (2-5 days),175,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Mild,12°F,casual,37323,933,40.00,13.77,72.51,Low Casual Engagement,65,,General Awareness Campaign,Weather-ready cycling - Membership for all conditions,Standard deployment (1-2 weeks),140,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Mild,11°F,casual,90579,1047,86.51,16.2,74.58,Low Casual Engagement,65,142.69,General Awareness Campaign,Weather-ready cycling - Membership for all conditions,Standard deployment (1-2 weeks),157,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Mild,10°F,casual,210221,1191,176.51,20.25,76.68,Low Casual Engagement,65,132.09,General Awareness Campaign,Weather-ready cycling - Membership for all conditions,Standard deployment (1-2 weeks),179,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Mild,12°F,member,137554,969,141.95,10.61,69.33,Limited Usage,45,-65.15,General Awareness Campaign,Weather-ready cycling - Membership for all conditions,Hold for better conditions,97,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Mild,11°F,member,238770,1176,203.04,10.91,71.10,Limited Usage,45,,General Awareness Campaign,Weather-ready cycling - Membership for all conditions,Hold for better conditions,118,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Mild,10°F,member,394660,1260,313.22,11.82,74.24,Limited Usage,45,65.29,General Awareness Campaign,Weather-ready cycling - Membership for all conditions,Hold for better conditions,126,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,9°F,member,465610,1210,384.80,12.13,75.87,Limited Usage,45,10.36,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,121,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,8°F,member,430277,1221,352.40,13.1,78.00,Limited Usage,45,-7.59,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,122,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,7°F,member,421890,1162,363.07,13.41,78.59,Limited Usage,45,96.81,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,116,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,6°F,member,402018,1189,338.11,13.48,78.97,Limited Usage,45,45.28,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,119,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,5°F,member,370047,1118,330.99,13.22,77.22,Limited Usage,45,-14.00,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,112,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,4°F,member,276714,1024,270.23,12.05,73.88,Limited Usage,45,137.40,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,102,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,3°F,member,214367,995,215.44,11.42,72.61,Limited Usage,45,-46.68,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,100,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,2°F,member,172796,948,182.27,11.91,72.91,Limited Usage,45,-53.30,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,95,Use seasonal weather trends for long-term planning
TEMPERATURE_ELASTICITY_ANALYSIS,Cool,1°F,member,116561,884,131.86,11.63,69.92,Limited Usage,45,,General Awareness Campaign,Committed riders get rewards - Member cold weather benefits,Hold for better conditions,88,Use seasonal weather trends for long-term planning
