route_id,start_station_name,end_station_name,route_distance_miles,total_trips,casual_trips,member_trips,casual_percentage,casual_weekday_trips,casual_weekday_percentage,casual_morning_rush,casual_evening_rush,casual_rush_hour_percentage,commuter_potential_score,route_type,campaign_strategy
"""15654""-""KA1504000106""","""15654""","""KA1504000106""",1.26,116,111,5,95.69,108,97.30,106,2,97.30,98.38,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""KA1503000043""-""13138""","""KA1503000043""","""13138""",0.79,391,101,290,25.83,101,100.00,74,13,86.14,96.53,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""429""-""13084""","""429""","""13084""",0.63,289,260,29,89.97,250,96.15,230,7,91.15,96.44,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13056""-""TA1305000022""","""13056""","""TA1305000022""",0.47,270,102,168,37.78,100,98.04,87,3,88.24,96.37,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000039""-""18069""","""TA1305000039""","""18069""",0.86,375,166,209,44.27,160,96.39,146,4,90.36,96.33,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""435""-""13266""","""435""","""13266""",1.46,123,121,2,98.37,120,99.17,0,103,85.12,95.99,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1307000151""-""13138""","""TA1307000151""","""13138""",0.87,308,135,173,43.83,133,98.52,115,0,85.19,95.78,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1308000049""-""TA1306000010""","""TA1308000049""","""TA1306000010""",1.58,203,132,71,65.02,124,93.94,3,117,90.91,95.61,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13138""-""TA1305000003""","""13138""","""TA1305000003""",1.39,165,113,52,68.48,107,94.69,95,4,87.61,95.04,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""RP-005""-""KA1504000162""","""RP-005""","""KA1504000162""",0.84,643,267,376,41.52,253,94.76,219,14,87.27,94.98,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""410""-""15664""","""410""","""15664""",0.69,230,170,60,73.91,169,99.41,135,0,79.41,94.65,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""398""-""15624""","""398""","""15624""",1.53,290,135,155,46.55,125,92.59,109,9,87.41,94.26,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1309000061""-""KA1503000044""","""TA1309000061""","""KA1503000044""",2.94,170,163,7,95.88,150,92.02,141,0,86.50,93.83,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""KA1503000040""-""TA1307000159""","""KA1503000040""","""TA1307000159""",1.27,215,90,125,41.86,88,97.78,1,84,94.44,93.83,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000006""-""TA1309000007""","""TA1305000006""","""TA1309000007""",0.29,260,164,96,63.08,152,92.68,137,2,84.76,93.63,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""21544""-""WL-012""","""21544""","""WL-012""",1.12,499,180,319,36.07,170,94.44,35,112,81.67,93.47,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000032""-""13138""","""TA1305000032""","""13138""",0.35,438,112,326,25.57,110,98.21,79,6,75.89,93.35,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000022""-""TA1305000006""","""TA1305000022""","""TA1305000006""",0.59,355,203,152,57.18,187,92.12,163,8,84.24,93.30,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1309000015""-""TA1309000066""","""TA1309000015""","""TA1309000066""",0.5,631,290,341,45.96,262,90.34,215,31,84.83,92.83,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1306000009""-""TA1305000030""","""TA1306000009""","""TA1305000030""",1.05,190,112,78,58.95,106,94.64,84,4,78.57,92.77,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""15664""-""13432""","""15664""","""13432""",0.86,219,123,96,56.16,116,94.31,81,15,78.05,92.52,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13056""-""TA1305000025""","""13056""","""TA1305000025""",0.35,346,122,224,35.26,113,92.62,93,5,80.33,92.50,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13011""-""chargingstx4""","""13011""","""chargingstx4""",0.76,345,114,231,33.04,106,92.98,59,31,78.95,92.28,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13021""-""TA1309000007""","""13021""","""TA1309000007""",0.51,445,105,340,23.60,100,95.24,78,1,75.24,92.14,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13164""-""TA1305000029""","""13164""","""TA1305000029""",2.33,118,115,3,97.46,92,80.00,106,5,96.52,92.13,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""SL-009""-""TA1305000025""","""SL-009""","""TA1305000025""",0.52,326,125,201,38.34,114,91.20,93,7,80.00,91.92,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""WL-012""-""TA1306000009""","""WL-012""","""TA1306000009""",1,1240,216,1024,17.42,210,97.22,86,67,70.83,91.74,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""15653""-""17660""","""15653""","""17660""",0.79,195,129,66,66.15,111,86.05,106,5,86.05,91.63,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""20246.0""-""TA1305000022""","""20246.0""","""TA1305000022""",0.65,159,106,53,66.67,97,91.51,79,4,78.30,91.60,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1309000004""-""TA1305000030""","""TA1309000004""","""TA1305000030""",0.45,348,87,261,25.00,84,96.55,76,4,91.95,91.58,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""SL-011""-""TA1305000005""","""SL-011""","""TA1305000005""",0.5,312,131,181,41.99,122,93.13,87,12,75.57,91.49,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13033""-""13021""","""13033""","""13021""",0.53,370,160,210,43.24,146,91.25,117,8,78.13,91.47,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13056""-""TA1309000004""","""13056""","""TA1309000004""",0.47,912,111,801,12.17,110,99.10,74,0,66.67,91.35,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""15530""-""TA1305000006""","""15530""","""TA1305000006""",1.01,367,120,247,32.70,106,88.33,92,6,81.67,91.33,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13427""-""TA1306000010""","""13427""","""TA1306000010""",0.58,427,125,302,29.27,116,92.80,80,14,75.20,91.28,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13263""-""TA1305000006""","""13263""","""TA1305000006""",0.57,617,146,471,23.66,136,93.15,99,9,73.97,91.10,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1305000039""-""TA1305000020""","""TA1305000039""","""TA1305000020""",1.53,263,171,92,65.02,153,89.47,132,3,78.95,91.05,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""18067""-""TA1309000029""","""18067""","""TA1309000029""",0.78,187,132,55,70.59,118,89.39,1,103,78.79,90.98,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13341""-""13017""","""13341""","""13017""",1.03,367,100,267,27.25,92,92.00,60,15,75.00,90.95,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""WL-012""-""chargingstx4""","""WL-012""","""chargingstx4""",0.59,747,112,635,14.99,105,93.75,50,31,72.32,90.89,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1306000002""-""TA1305000017""","""TA1306000002""","""TA1305000017""",0.36,343,106,237,30.90,104,98.11,67,3,66.04,90.85,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13011""-""KA1503000043""","""13011""","""KA1503000043""",0.69,560,180,380,32.14,172,95.56,73,52,69.44,90.81,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13288""-""13068""","""13288""","""13068""",0.57,269,182,87,67.66,159,87.36,136,10,80.22,90.63,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""TA1306000012""-""TA1307000111""","""TA1306000012""","""TA1307000111""",0.62,672,257,415,38.24,237,92.22,171,17,73.15,90.56,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""KA1504000079""-""TA1305000022""","""KA1504000079""","""TA1305000022""",1.11,198,100,98,50.51,93,93.00,69,3,72.00,90.55,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""WL-012""-""23003""","""WL-012""","""23003""",0.44,584,215,369,36.82,199,92.56,99,57,72.56,90.53,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""13341""-""TA1309000004""","""13341""","""TA1309000004""",0.49,1018,146,872,14.34,140,95.89,97,2,67.81,90.51,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""18062""-""13021""","""18062""","""13021""",0.65,359,179,180,49.86,161,89.94,128,8,75.98,90.47,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""17660""-""15653""","""17660""","""15653""",0.78,213,117,96,54.93,103,88.03,0,92,78.63,90.47,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
"""KA1503000043""-""TA1305000006""","""KA1503000043""","""TA1305000006""",0.71,607,114,493,18.78,103,90.35,79,6,74.56,90.26,High Commuter Potential,Priority Target: Commuter conversion with monthly trials
