station_pair_id,station_a_id,station_b_id,pair_distance_miles,total_pair_trips,casual_pair_trips,member_pair_trips,casual_percentage,casual_a_to_b,casual_b_to_a,directional_imbalance_percentage,casual_weekday_trips,casual_weekday_percentage,casual_rush_hour_trips,casual_rush_hour_percentage,corridor_conversion_score,corridor_type,campaign_strategy,estimated_monthly_conversions
"""KA1503000044""-""TA1309000061""","""KA1503000044""","""TA1309000061""",1.04,251,233,18,92.83,70,163,57.06,208,89.27,174,74.68,90.99,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,47
"""13266""-""435""","""13266""","""435""",1.43,124,122,2,98.39,1,121,99.17,121,99.18,104,85.25,90.51,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,24
"""13164""-""TA1305000029""","""13164""","""TA1305000029""",1.49,144,130,14,90.28,115,15,86.96,101,77.69,118,90.77,88.11,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,26
"""15654""-""KA1504000106""","""15654""","""KA1504000106""",0.44,172,161,11,93.60,111,50,54.95,152,94.41,139,86.34,85.19,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,32
"""15664""-""410""","""15664""","""410""",0.48,272,188,84,69.12,18,170,89.41,187,99.47,152,80.85,85.08,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,38
"""13084""-""429""","""13084""","""429""",0.45,334,289,45,86.53,29,260,88.85,270,93.43,250,86.51,84.98,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,58
"""15664""-""18058""","""15664""","""18058""",0.06,650,158,492,24.31,78,80,2.50,152,96.20,122,77.22,83.35,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,32
"""TA1305000030""-""TA1309000004""","""TA1305000030""","""TA1309000004""",0.03,654,154,500,23.55,67,87,22.99,148,96.10,116,75.32,82.86,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,31
"""TA1306000010""-""TA1308000049""","""TA1306000010""","""TA1308000049""",0.38,327,184,143,56.27,52,132,60.61,172,93.48,140,76.09,82.39,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,37
"""15653""-""17660""","""15653""","""17660""",0.03,408,246,162,60.29,129,117,9.30,214,86.99,203,82.52,82.38,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,49
"""TA1305000020""-""TA1305000039""","""TA1305000020""","""TA1305000039""",0.01,524,291,233,55.53,120,171,29.82,265,91.07,219,75.26,81.58,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,58
"""13138""-""TA1307000151""","""13138""","""TA1307000151""",0.18,509,199,310,39.10,64,135,52.59,196,98.49,135,67.84,81.58,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,40
"""15624""-""398""","""15624""","""398""",0.19,518,260,258,50.19,125,135,7.41,241,92.69,191,73.46,81.54,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,52
"""13341""-""TA1307000062""","""13341""","""TA1307000062""",0.03,612,172,440,28.10,80,92,13.04,163,94.77,122,70.93,81.42,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,34
"""515""-""604""","""515""","""604""",0.45,322,179,143,55.59,98,81,17.35,163,91.06,132,73.74,81.20,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,36
"""21544""-""WL-012""","""21544""","""WL-012""",0.01,1002,270,732,26.95,180,90,50.00,248,91.85,195,72.22,81.02,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,54
"""TA1305000006""-""TA1309000007""","""TA1305000006""","""TA1309000007""",0.12,840,208,632,24.76,164,44,73.17,187,89.90,151,72.60,80.62,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,42
"""13017""-""13341""","""13017""","""13341""",0.28,581,183,398,31.50,83,100,17.00,171,93.44,126,68.85,80.57,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,37
"""13011""-""chargingstx4""","""13011""","""chargingstx4""",0.12,808,177,631,21.91,114,63,44.74,167,94.35,119,67.23,80.40,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,35
"""13011""-""KA1503000043""","""13011""","""KA1503000043""",0.09,1293,397,896,30.70,180,217,17.05,373,93.95,267,67.25,80.30,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,79
"""TA1309000015""-""TA1309000066""","""TA1309000015""","""TA1309000066""",0.14,983,389,594,39.57,290,99,65.86,340,87.40,284,73.01,80.10,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,78
"""13059""-""KA1504000161""","""13059""","""KA1504000161""",2.16,80,70,10,87.50,62,8,87.10,69,98.57,60,85.71,80.07,Short Distance Connector,Distance Optimization: Perfect commute corridor marketing,14
"""TA1305000006""-""TA1305000022""","""TA1305000006""","""TA1305000022""",0.18,543,255,288,46.96,52,203,74.38,223,87.45,183,71.76,79.80,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,51
"""KA1504000162""-""RP-005""","""KA1504000162""","""RP-005""",0.06,1381,441,940,31.93,174,267,34.83,407,92.29,294,66.67,79.74,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,88
"""13058""-""18069""","""13058""","""18069""",0.03,349,201,148,57.59,105,96,8.57,187,93.03,132,65.67,79.68,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,40
"""13138""-""TA1305000003""","""13138""","""TA1305000003""",0.53,239,125,114,52.30,113,12,89.38,119,95.20,104,83.20,79.60,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,25
"""13056""-""TA1305000025""","""13056""","""TA1305000025""",0.04,619,170,449,27.46,122,48,60.66,152,89.41,117,68.82,79.56,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,34
"""TA1305000032""-""TA1306000009""","""TA1305000032""","""TA1306000009""",0.27,1019,224,795,21.98,125,99,20.80,206,91.96,148,66.07,79.51,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,45
"""KA1504000097""-""KA1504000142""","""KA1504000097""","""KA1504000142""",0.04,217,163,54,75.12,85,78,8.24,127,77.91,130,79.75,79.42,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,33
"""15624""-""TA1307000001""","""15624""","""TA1307000001""",3.63,54,54,0,100.00,2,52,96.15,54,100.00,51,94.44,79.41,Recreation Corridor,Secondary Corridor: General awareness and trial campaigns,11
"""13138""-""KA1503000043""","""13138""","""KA1503000043""",0.15,657,163,494,24.81,62,101,38.61,155,95.09,101,61.96,79.26,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,33
"""13154""-""TA1305000039""","""13154""","""TA1305000039""",0.11,925,404,521,43.68,141,263,46.39,363,89.85,270,66.83,79.17,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,81
"""KA1504000148""-""KA1504000162""","""KA1504000148""","""KA1504000162""",0.17,458,172,286,37.55,94,78,17.02,152,88.37,117,68.02,79.10,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,34
"""TA1308000029""-""TA1309000004""","""TA1308000029""","""TA1309000004""",0.17,301,142,159,47.18,80,62,22.50,137,96.48,94,66.20,79.07,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,28
"""15664""-""TA1308000006""","""15664""","""TA1308000006""",0.09,440,168,272,38.18,92,76,17.39,146,86.90,116,69.05,78.99,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,34
"""13021""-""13265""","""13021""","""13265""",0.1,749,286,463,38.18,110,176,37.50,235,82.17,210,73.43,78.90,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,57
"""SL-011""-""TA1305000005""","""SL-011""","""TA1305000005""",0.07,548,252,296,45.99,131,121,7.63,226,89.68,166,65.87,78.89,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,50
"""TA1306000009""-""WL-012""","""TA1306000009""","""WL-012""",0.09,2737,491,2246,17.94,275,216,21.45,480,97.76,283,57.64,78.85,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,98
"""638""-""TA1306000009""","""638""","""TA1306000009""",0.44,1728,163,1565,9.43,28,135,79.26,158,96.93,95,58.28,78.80,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,33
"""13068""-""13288""","""13068""","""13288""",0.13,444,227,217,51.13,45,182,75.27,191,84.14,160,70.48,78.66,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,45
"""13021""-""13033""","""13021""","""13033""",0.05,672,254,418,37.80,94,160,41.25,232,91.34,160,62.99,78.58,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,51
"""18067""-""TA1309000029""","""18067""","""TA1309000029""",0.33,263,161,102,61.22,132,29,78.03,136,84.47,112,69.57,78.51,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,32
"""15664""-""17660""","""15664""","""17660""",0.11,376,202,174,53.72,122,80,34.43,180,89.11,131,64.85,78.49,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,40
"""18069""-""TA1305000039""","""18069""","""TA1305000039""",0.03,729,338,391,46.36,172,166,3.49,331,97.93,189,55.92,78.46,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,68
"""13056""-""TA1305000022""","""13056""","""TA1305000022""",0.08,653,194,459,29.71,102,92,9.80,189,97.42,109,56.19,78.40,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,39
"""13163""-""TA1309000004""","""13163""","""TA1309000004""",0.5,133,107,26,80.45,83,24,71.08,107,100.00,94,87.85,78.36,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,21
"""TA1307000111""-""TA1308000029""","""TA1307000111""","""TA1308000029""",0.01,550,229,321,41.64,146,83,43.15,202,88.21,149,65.07,78.32,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,46
"""13109""-""TA1309000066""","""13109""","""TA1309000066""",0.31,620,242,378,39.03,62,180,65.56,211,87.19,159,65.70,78.22,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,48
"""20246.0""-""TA1307000151""","""20246.0""","""TA1307000151""",0.2,470,147,323,31.28,81,66,18.52,135,91.84,93,63.27,78.18,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,29
"""13427""-""TA1306000010""","""13427""","""TA1306000010""",0.13,701,175,526,24.96,125,50,60.00,153,87.43,114,65.14,78.14,High-Traffic Commuter Corridor,Priority Corridor: Comprehensive commuter conversion with corporate partnerships,35
